"week","id","scheduled","home_team","away_team","home_points","away_points","home_total_rushing_yards","away_total_rushing_yards","home_total_passing_yards","away_total_passing_yards"
"8","659f3005-02d2-4730-b5db-847082ef31d4","2020-11-01T18:00:00+00:00","Dolphins","Rams",28,17,55,131,93,355
"8","6deabb30-43d8-4dc5-8e6e-9784ecb3255d","2020-11-01T18:00:00+00:00","Lions","Colts",21,41,29,119,336,262
"8","7ba90ec8-f7fd-49bd-bf45-1cf96b8d411a","2020-11-01T18:00:00+00:00","Bills","Patriots",24,21,190,188,154,174
"8","7ea0307c-df19-4b25-a5a9-f5b72f3d713f","2020-11-02T01:20:00+00:00","Eagles","Cowboys",23,9,119,133,132,180
"8","85248f1c-5c16-472f-b929-aea7da127c1c","2020-11-01T18:00:00+00:00","Browns","Raiders",6,16,101,209,122,111
"8","89d88ac6-6b8d-410c-9aaf-829f29fb1bc8","2020-11-01T18:00:00+00:00","Ravens","Steelers",24,28,265,48,208,182
"8","a06990f4-c5bf-4b3b-9743-622dbdc0897d","2020-11-01T21:05:00+00:00","Broncos","Chargers",31,30,108,210,248,278
"8","adb4c83d-9633-450d-974f-5b1950409ffc","2020-11-03T01:15:00+00:00","Giants","Buccaneers",23,25,101,81,274,279
"8","bbd2d106-eb83-4ff2-9faa-9f5a264baf84","2020-10-30T00:20:00+00:00","Panthers","Falcons",17,25,147,131,179,281
"8","c5369cd0-5d91-46f4-9c62-3c27a1367591","2020-11-01T18:00:00+00:00","Packers","Vikings",22,28,109,173,291,160
"8","d1be606b-b09d-4909-820e-c07f5e8f78b7","2020-11-01T21:25:00+00:00","Bears","Saints",23,26,96,122,272,280
"8","e669b44f-8e7d-4079-9e48-3ef184af618f","2020-11-01T21:25:00+00:00","Seahawks","49ers",37,27,101,52,261,322
"9","0b1d5b04-fa27-4751-b269-4edbd5846902","2020-11-08T21:25:00+00:00","Cowboys","Steelers",19,24,144,46,243,309
"9","2f4a9e05-b7b2-4a8e-ac3a-11821723655d","2020-11-08T18:00:00+00:00","Bills","Seahawks",44,34,34,57,415,390
"9","458f8df3-37d7-495b-8ce6-2f24dd2606ca","2020-11-08T18:00:00+00:00","Colts","Ravens",10,24,112,110,227,170
"9","565579c0-2a49-4ca1-b049-2560b7d078f8","2020-11-09T01:20:00+00:00","Buccaneers","Saints",3,38,8,138,209,282
